chr,start,end,clus,Ahal_ID,TE_ID,mz161122,mz161206,mz161220,mz170104,mz170131,mz170221,mz170307,mz170321,mz170404,mz170418,mz170502,mz170516,mz170530,mz170613,mz170627,mz170710,mz170725,mz170808,mz170822,mz170905,mz170919,mz171003,mz171017,mz171031,mz171113,mz171128,mz171212,mz171225,mz180109,mz180123,mz180206,mz180220,mz180306,mz180320,mz180403,mz180417,mz180501,mz180515,mz180529,mz180612,mz180626,mz180710,mz180724,mz180807,mz180821,mz180903,mz180918,mz181001,mz181016,mz181030,mz181113,mz181127
scaffold_1,45301,45450,I1,g00010,"",I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1
scaffold_1,45301,45450,I1,g00010,"",I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1,I1
scaffold_1,45451,45600,I2,g00010,"",I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2
scaffold_1,45601,45750,I2,g00010,"",I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2
scaffold_1,45601,45750,I2,g00010,"",I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2
scaffold_1,45751,45900,I2,g00010,"",I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2
scaffold_1,45751,45900,I2,g00010,"",I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2
scaffold_1,45901,46050,I2,g00010,"",I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2
scaffold_1,46051,46200,I2,g00010,"",I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2
scaffold_1,46051,46200,I2,g00010,"",I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2
scaffold_1,46201,46350,I2,g00010,"",I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2
scaffold_1,46201,46350,I2,g00010,"",I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2
scaffold_1,46351,46500,I2,g00010,"",I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2
scaffold_1,46501,46650,I1,g00010,"",I1,I1,I1,I1,I1,I1,I1,I1,I1,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I1,I1,I1,I1,I1,I1,I1,I1,I1,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I1,I1,I2,I1,I1,I1
scaffold_1,46501,46650,I1,g00010,"",I1,I1,I1,I1,I1,I1,I1,I1,I1,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I1,I1,I1,I1,I1,I1,I1,I1,I1,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I2,I1,I1,I2,I1,I1,I1
